$\lambda$ (Loss Aversion),$\rho$ (Perception Shape),$\alpha$ (Learning Rate),$f$ (Boredom Factor),$\beta$ (Exploration Weight),Pattern
0.10703159186354115,0.40014997982580863,0.05059971480769737,0.37184565793315216,0.09074401100680812,BOG
3.8912463288930663,0.9859308166184099,0.8922379313961657,0.4925394448639978,2.9326925148339797,GOB
3.995641943571816,0.20895435406218565,0.8848178024364642,0.31420936936189947,1.7081534726295702,GOB
3.5756272157556586,0.9847953013817448,0.3371114918178036,0.18798489214514472,4.788791598929676,GOB
2.1539454284353945,0.30549851291024654,0.9225733788576959,0.2650774128054671,3.1668951732699204,GOB
2.0357457505695633,0.015004522683269501,0.2385274144619057,0.052418879629777385,1.708912317144664,GOB
1.8056567273684039,0.3827983680924429,0.09284413822980492,0.25721769494880853,4.077379383300347,GOB
2.994828907583634,0.16089453538495424,0.48481476183445976,0.07632376288379301,4.148037525633306,GOB
0.518435293310832,0.5453087950735727,0.6109947480400076,0.16000738806914455,0.8943954047182076,GOB
3.9712568451712182,0.7088600542377101,0.6208754876916297,0.05030911544061045,3.1236205270213575,GOB
1.01079449161393,0.4805945569951288,0.48754698467784513,0.45289484461605395,1.774141000266302,GOB
4.91439083242704,0.19118726661153482,0.9499045267255933,0.2165702998941835,2.2593776989866106,GOB
4.667996933844132,0.13848366514359597,0.09416921372312968,0.46415503011197323,2.6291165511166392,GOB
3.9375755277581437,0.5496743953964939,0.9293550063304465,0.21266097985221233,1.7952813909199548,GOB
2.1395178444965257,0.6753399283858299,0.20741018266802652,0.2301830739303852,2.552845813863794,GOB
2.5945391788757624,0.7532283248849997,0.8989262643631135,0.15635741084907057,3.325571669587312,GOB
4.589795483246422,0.3574283481751578,0.6374324520046055,0.49856973543861904,1.7824253333510125,GOB
0.7653961322349461,0.972218417567283,0.9605094720628707,0.3665081953656547,0.987539957314447,GOB
2.677501992521492,0.2232830699670404,0.05852055336998749,0.020740876172930155,0.253817665871051,GOB
3.4561805083397616,0.44975308472833153,0.7612508206158141,0.01900443542159219,0.9192160261307797,GOB
2.5759492364706733,0.09081085740177308,0.812763889487554,0.33595102071502,0.8879971020736055,GOB
1.2727525435912195,0.6347599251455799,0.19845440535685338,0.26537855368570895,2.8162759131763018,GOB
2.325903135262746,0.7959203367805002,0.23926003250166647,0.09892723648224369,4.4279695807626265,GOB
0.31856108403152544,0.5114153301721522,0.38033020579824156,0.365991654882102,3.492393945776979,GOB
0.07528507022702509,0.022416630066095254,0.8970794489130566,0.3317912508745873,2.7983704690544857,GOB
4.829846997162394,0.9538713472023828,0.3858996732589823,0.02811986650916319,0.13593550128473533,GOB
3.0627117482174,0.9374866764567982,0.9365741120166188,0.11512000675915557,0.035358266339501544,GOB
0.9880172417367123,0.1754321223942047,0.6227844180325547,0.46807329194772945,4.732453435460077,GOB
0.44663831498582357,0.7425518214291065,0.2546201860148249,0.3451039706508672,0.5594254575777451,GOB
4.303303076887803,0.17143901247652088,0.7695939482091156,0.4834875374838999,4.433114431144279,GOB
4.033500786735105,0.1331083524887194,0.25281651117855625,0.2061417044579332,1.3282496414103468,GOB
1.9763871043871464,0.3449088781783676,0.6215867531636003,0.2339567545277999,3.304628889803066,GOB
1.1516044745359362,0.04314046167835303,0.4450748780577847,0.2632283335694947,4.840764257235548,IOF
1.9247918195607052,0.25307336121034607,0.6284175827114754,0.19342492038850337,2.8521944393930805,GOB
0.23226366399753617,0.1837510488026706,0.05110983084224875,0.017944267730135202,3.3321777213980526,Remaining
0.9949811792018465,0.46091072097623936,0.017057494389445055,0.42739261562790704,0.199870889196582,BOG
1.2815609890941033,0.7044488844586193,0.5398823037613643,0.2816250389529206,0.31461753159275324,GOB
